branch,tip,merge_base,tip_date,author,subject,branch_only_commits,diff_stat,changed_path_count,content_flags,disposition,deletion_permitted
"battle-pacing-improvements","8525d1c46d1763aa95acadd0b5c0deba4f38202d","4d7365b80213fdc063be1b291ba662e478f181dc","2025-12-03T07:04:07Z","google-labs-jules[bot]","Refactor battle pacing for improved clarity and timing","1","2 files changed, 70 insertions(+), 23 deletions(-)","2","assets","retained-pending-review","false"
"battle-shatter-transition-15597759711949042376","1e6a5a7d708dcab727a19cef9e8e68a0afba616e","a8b08806939fe29d5818ba6286ee3fcad4a29f9e","2025-12-25T19:12:42Z","google-labs-jules[bot]","Enhance Shatter Transition with Glow and Reflections","3","2 files changed, 287 insertions(+), 76 deletions(-)","2","transitions","retained-pending-review","false"
"bugfix/recruit-error-fix","655f92f52d543cf898c04a752d0bb3c9cdf4c8d1","81cfc9f52334ed4f0ffc53f51ffcce79648d94fa","2025-12-02T02:31:16Z","google-labs-jules[bot]","Fix Game_Actor instantiation error in recruit system","1","2 files changed, 4 insertions(+), 9 deletions(-)","2","assets","retained-pending-review","false"
"doc-drift-audit-15100197966629171290","bb8ac8dd47ac768dd2c8c5368b273960cfe039b1","9aa17c569d1fd4cbd4c3191bc0fcd3d248db172f","2026-01-20T05:53:55Z","google-labs-jules[bot]","Audit and update documentation for drift and gaps","1","4 files changed, 24 insertions(+), 3 deletions(-)","4","docs","retained-pending-review","false"
"doc-drift-audit-17292721646525560420","d887c2ec4325c1433ae12c7e20791f0e9d1b16b4","1e14a672d7dcba9b0029f6070fdbdc4739c960d4","2026-02-01T05:52:51Z","google-labs-jules[bot]","Update documentation to reflect current codebase state","1","2 files changed, 5 insertions(+), 3 deletions(-)","2","docs","retained-pending-review","false"
"doc-drift-audit-9865479593348390183","f8510036f77534ed148d98acf8c94a9b08af6556","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2025-12-30T08:52:20Z","google-labs-jules[bot]","Audit and update documentation for drift","1","","0","","retained-pending-review","false"
"doc-window-comparison","1b5d239fff4ea4ae3dc9b868d9f320af3582b095","503e8b0f13ac7f4e23d86e10020731e85f33e4fa","2025-12-02T03:25:09Z","google-labs-jules[bot]","Docs: Add window architecture comparison and update refactor plan","1","2 files changed, 195 insertions(+)","2","docs","retained-pending-review","false"
"doc-window-refactor","5f88fc99e119fc5b76d9cc10fb3dcfaabd27bb99","503e8b0f13ac7f4e23d86e10020731e85f33e4fa","2025-12-02T03:14:49Z","google-labs-jules[bot]","Docs: Add window system refactor plan","1","1 file changed, 130 insertions(+)","1","docs","retained-pending-review","false"
"doc-window-system-refactor","c7158e8d44b0b3ea5d6e200540180b523e55444c","503e8b0f13ac7f4e23d86e10020731e85f33e4fa","2025-12-02T03:58:33Z","google-labs-jules[bot]","Docs: Add window system refactoring plan and architecture comparison","1","2 files changed, 244 insertions(+)","2","docs","retained-pending-review","false"
"doc-window-system-refactor-refined","d2b90b5e4d550c977dc06008f7a935b02de32624","503e8b0f13ac7f4e23d86e10020731e85f33e4fa","2025-12-02T04:12:13Z","google-labs-jules[bot]","Docs: Add refined window system refactoring plan and architecture comparison","1","2 files changed, 289 insertions(+)","2","docs","retained-pending-review","false"
"docs-audit-drift-9399199540632389225","8355bb512f9cab8bc5301287abe9f7c2735729f6","1e14a672d7dcba9b0029f6070fdbdc4739c960d4","2026-02-04T05:58:02Z","google-labs-jules[bot]","docs: Audit and update documentation to reflect code reality","1","3 files changed, 49 insertions(+), 4 deletions(-)","3","docs","retained-pending-review","false"
"docs-audit-synchronization-6894581242011254787","c615207caaa0d1c7855f981203716293a51f16b1","eb5a1616147de758f279ad635a4606d0c8a9a7ce","2026-01-25T05:47:43Z","google-labs-jules[bot]","docs: Synchronize documentation with current engine implementation","1","5 files changed, 20 insertions(+), 6 deletions(-)","5","docs","retained-pending-review","false"
"docs-audit-updates-1145650340972809569","2ebfe3084f721bf390cd24724820d7e246e541c8","9aa17c569d1fd4cbd4c3191bc0fcd3d248db172f","2026-01-18T05:56:52Z","google-labs-jules[bot]","Perform documentation audit and drift analysis","1","1 file changed, 109 insertions(+)","1","docs","retained-pending-review","false"
"docs-drift-audit-3080414279409390794","1121be976fd4047991162885385ca064faf3fce9","9aa17c569d1fd4cbd4c3191bc0fcd3d248db172f","2026-01-16T18:05:43Z","google-labs-jules[bot]","docs: Audit and resolve documentation drift","1","4 files changed, 10 insertions(+), 7 deletions(-)","4","docs","retained-pending-review","false"
"docs-update-drift-audit-11654786190562891071","b3c3b6b9fe756e256e792728ec9b99d2cf54dc77","9aa17c569d1fd4cbd4c3191bc0fcd3d248db172f","2026-01-17T05:46:17Z","google-labs-jules[bot]","docs: update ARCHITECTURE and gameDesign md files to match codebase","1","3 files changed, 9 insertions(+), 1 deletion(-)","3","docs","retained-pending-review","false"
"docs-update-drift-audit-15711358919568912432","42ca044f0c66a8a2dcacfbcfb87ffedecd780b90","105a1209f46bd05d2ed805e973b32871120d97e2","2025-12-23T05:49:08Z","google-labs-jules[bot]","Update documentation to match current engine architecture","2","4 files changed, 141 insertions(+), 111 deletions(-)","4","docs","retained-pending-review","false"
"docs/revise-gameplay-guide","2bfd817ade67d3c3a427a6d9618c82632f0b8a7a","4d7365b80213fdc063be1b291ba662e478f181dc","2025-12-03T07:35:46Z","google-labs-jules[bot]","docs: Revise gameplay guide for depth and integration","1","1 file changed, 88 insertions(+)","1","docs","retained-pending-review","false"
"documentation-audit-14046895942092325370","859e9b0b16ef78256d7c381e3bc52beeb31f957a","9aa17c569d1fd4cbd4c3191bc0fcd3d248db172f","2026-01-19T05:41:04Z","google-labs-jules[bot]","Audit and update documentation to match codebase state","1","5 files changed, 38 insertions(+), 20 deletions(-)","5","docs","retained-pending-review","false"
"documentation-audit-update-1430419203719429558","d01302cb0a50ccb51c36a1e6387c883ddf8b8c89","9aa17c569d1fd4cbd4c3191bc0fcd3d248db172f","2026-01-21T05:40:46Z","google-labs-jules[bot]","Docs: Audit and update documentation for consistency","1","4 files changed, 31 insertions(+), 24 deletions(-)","4","docs","retained-pending-review","false"
"documentation-audit-updates-179830062199797946","4ac22c4494ab375b1aef6051479fb7fc2808f257","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2025-12-27T05:46:38Z","google-labs-jules[bot]","Update documentation to reflect current codebase state","1","2 files changed, 6 insertions(+), 6 deletions(-)","2","docs","retained-pending-review","false"
"documentation-audit-updates-2082069002758705748","727c7835e58d3f0206077ac16c833d5b85c4ac63","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2025-12-29T05:46:44Z","google-labs-jules[bot]","Update documentation to reflect current codebase state","1","2 files changed, 6 insertions(+), 6 deletions(-)","2","docs","retained-pending-review","false"
"documentation-audit-updates-9681998856619555653","6dda9db5263b852f995075cd8c6fead6704280e2","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2025-12-28T05:47:01Z","google-labs-jules[bot]","Update documentation to reflect current codebase state","1","2 files changed, 6 insertions(+), 6 deletions(-)","2","docs","retained-pending-review","false"
"documentation-drift-audit-10406535168140030955","36c2b829f0ff84c9ae6218c7725678bd929eda7a","1e14a672d7dcba9b0029f6070fdbdc4739c960d4","2026-02-03T05:51:40Z","google-labs-jules[bot]","docs: audit and update documentation for drift","1","6 files changed, 56 insertions(+), 11 deletions(-)","6","docs","retained-pending-review","false"
"documentation-drift-audit-13304102890181895345","a06c5e70e3df0b026a82e1363759697583bd7983","51f811a7d80b36d58c5252e573f80a81f2c60054","2026-01-23T05:47:08Z","google-labs-jules[bot]","Docs: Fix drift in Architecture and JSDoc","1","3 files changed, 15 insertions(+), 2 deletions(-)","3","docs","retained-pending-review","false"
"documentation-drift-audit-1583803531309484466","9b3564dee41648499ceff8843a50a09db3745e0a","f528535a263b6d16ef1fc2296c5f440ab66240a9","2026-01-24T05:38:43Z","google-labs-jules[bot]","Audit and update documentation to match codebase state","1","4 files changed, 32 insertions(+), 16 deletions(-)","4","docs","retained-pending-review","false"
"documentation-drift-audit-17051027663290310438","94bf32bc51ea4b75b9be7326eef24cd5274e8c72","1e14a672d7dcba9b0029f6070fdbdc4739c960d4","2026-01-31T05:45:15Z","google-labs-jules[bot]","Audit and update documentation to match codebase state.","1","4 files changed, 35 insertions(+), 4 deletions(-)","4","docs","retained-pending-review","false"
"documentation-drift-audit-4630824222758146546","d4fd0b64289c1581bbcebba33b39b40d91a002b0","1e14a672d7dcba9b0029f6070fdbdc4739c960d4","2026-02-05T06:03:04Z","google-labs-jules[bot]","Update ARCHITECTURE.md to match codebase","1","1 file changed, 7 insertions(+), 3 deletions(-)","1","docs","retained-pending-review","false"
"documentation-rewrite-proposal","849a36474eae918f6cb8e371b26a93c19bf1e2d7","575c45ade7e3614fa4a0acc532688d2268b1e549","2025-12-05T08:13:59Z","google-labs-jules[bot]","Add radical rewrite proposal documentation","2","1 file changed, 114 insertions(+)","1","docs","retained-pending-review","false"
"feat/data-editor-3972108228662286533","d1c2efad2afa3049f8a70ccf3f03076dc01805b4","1e14a672d7dcba9b0029f6070fdbdc4739c960d4","2026-07-20T09:04:15Z","google-labs-jules[bot]","Add custom visual data editor for RPG Maker MZ style data files","1","5 files changed, 744 insertions(+)","5","","retained-pending-review","false"
"feat/gameplay-guide","3166a06aa7af894ffeb2848006e314ba5fe125d2","4d7365b80213fdc063be1b291ba662e478f181dc","2025-12-03T07:01:02Z","google-labs-jules[bot]","docs: Add deep, expansive gameplay guide","1","1 file changed, 123 insertions(+)","1","docs","retained-pending-review","false"
"feat/randomized-starting-inventory","919c7b167b544687546d61ea0cb883170cee0578","4d7365b80213fdc063be1b291ba662e478f181dc","2025-12-03T07:44:25Z","google-labs-jules[bot]","feat: Add randomized starting inventory","1","2 files changed, 41 insertions(+)","2","assets","retained-pending-review","false"
"feature/camera-easing-summoner-pos-652246758887171837","58fe1cb695cf501d05151b1530669656a524b0e0","fd90caf85b11d9e3e6cc70e24858b597ba3a46b2","2025-12-11T00:49:35Z","google-labs-jules[bot]","feat: add camera easing for level up and adjust summoner position","1","3 files changed, 62 insertions(+), 29 deletions(-)","3","","retained-pending-review","false"
"feature/map-effects-and-popups-v2","73d72c7f54839d43382d26a98cbc54ffb68ea37b","ba25f1d761a93d5886832fb80568a1e384607252","2025-12-02T10:09:53Z","google-labs-jules[bot]","Refactor map events to use visual effects and logs instead of popups; Add physics-based HP popups to party menu.","1","13 files changed, 354 insertions(+), 183 deletions(-)","13","docs;tests;assets","retained-pending-review","false"
"feature/scene-transitions-9186627439843748144","ce7d9bd61102814444de8817d5c52fe314a7b6c6","15565fe7a941c01f5a2d317ae3f58b09906e8b69","2025-12-24T15:28:17Z","google-labs-jules[bot]","Add visual transitions for battle and map scenes","1","12 files changed, 264 insertions(+), 25 deletions(-)","12","assets;transitions","retained-pending-review","false"
"feature/visual-transitions-8417055012383503091","bb94e4f84b240ac1c3e014fff8dfec5bae83ca31","15565fe7a941c01f5a2d317ae3f58b09906e8b69","2025-12-24T16:35:47Z","google-labs-jules[bot]","Add visual transitions for battle and map transfers","1","7 files changed, 651 insertions(+), 34 deletions(-)","7","transitions","retained-pending-review","false"
"fix-battle-pacing-13099592463894018345","44a1260b8562038ae0ee725155d3123b0bcaa8e3","f528535a263b6d16ef1fc2296c5f440ab66240a9","2026-01-23T21:16:07Z","google-labs-jules[bot]","Fix battle animation pacing and improve Effekseer handle support","3","3 files changed, 65 insertions(+), 3 deletions(-)","3","docs","retained-pending-review","false"
"fix-fog-of-war-animation","02045513011948d183f0b5c361409f9c8336eaaa","3839ba62430a346912be0d5cd59692b7a6c143e7","2025-12-02T20:52:12Z","google-labs-jules[bot]","Implement smooth fog of war transitions in ExploreSystem","1","1 file changed, 57 insertions(+), 32 deletions(-)","1","","retained-pending-review","false"
"fix-fog-wall-displacement","da1854b24d358157b0e2a917043a974c6bfef071","c8d08d016c11d28ba669c01161817635a5eb79f1","2025-12-03T00:19:30Z","google-labs-jules[bot]","Fix wall displacement issue by adjusting visited visibility radius","1","1 file changed, 1 insertion(+), 1 deletion(-)","1","","retained-pending-review","false"
"fix-recruit-and-treasure-find","274265d55fd67975d899fdf9111d4529378185f6","efdeb1912137708aed0bf7ef8d21d0aea8193973","2025-12-02T11:46:29Z","google-labs-jules[bot]","Fix recruit crash and implement treasure find animation/items","1","2 files changed, 25 insertions(+), 12 deletions(-)","2","","retained-pending-review","false"
"fix/explore-effects-and-recruit","2fd1ae64ebf98ad87ed65b8ced09495375df0f67","ba25f1d761a93d5886832fb80568a1e384607252","2025-12-02T10:19:48Z","google-labs-jules[bot]","Fix animations not playing in explore mode and recruit system crash.","1","11 files changed, 311 insertions(+), 187 deletions(-)","11","assets","retained-pending-review","false"
"fix/fog-of-war","8cbe0cb3800a6ae5f736088de11a0cf379c2b0de","699d1a0e2925fb0fa86c01ac64c33904731ccb80","2025-12-02T18:35:03Z","google-labs-jules[bot]","feat: Rework fog of war system","1","3 files changed, 133 insertions(+), 59 deletions(-)","3","","retained-pending-review","false"
"fix/shop-ui-persistence-17639534428531026715","ce386c76df9bc9d2dc1c2c08b9eec2070189c246","fbe6993bf0a2cf80e0a6010b838927c478646e94","2025-12-24T17:35:26Z","google-labs-jules[bot]","fix(ui): Resolve Shop UI visual persistence","1","1 file changed, 5 insertions(+), 3 deletions(-)","1","","retained-pending-review","false"
"fog-displacement-fix-v2","01ae126ac49182510a06dcb1486e6e31f0f184fb","f1f8d9681951f39060633123a12f62e320043a26","2025-12-03T01:57:14Z","google-labs-jules[bot]","Fix Fog of War wall displacement using World Space math and WebGL 2 compatible textures","1","3 files changed, 81 insertions(+), 13 deletions(-)","3","docs;fog-of-war","retained-pending-review","false"
"fog-displacement-fix-v3","445f288b30e14374abb7657e27e94ab15f1822ae","f1f8d9681951f39060633123a12f62e320043a26","2025-12-03T02:07:31Z","google-labs-jules[bot]","Fix Fog of War wall displacement (Hybrid Approach)","1","3 files changed, 77 insertions(+), 15 deletions(-)","3","docs;fog-of-war","retained-pending-review","false"
"fog-of-war-and-fix-spawn","f7e1ba10cc2874b165e7a4458d8d5fb402d607bc","efdeb1912137708aed0bf7ef8d21d0aea8193973","2025-12-02T12:47:07Z","google-labs-jules[bot]","Add Fog of War shader and fix event duplication on floor change","1","5 files changed, 137 insertions(+), 92 deletions(-)","5","tests","retained-pending-review","false"
"fog-of-war-shader-fix","57ac2262442b81f482858e4cdc44a78c4ba75352","f1f8d9681951f39060633123a12f62e320043a26","2025-12-03T01:37:33Z","google-labs-jules[bot]","Fix Fog of War wall displacement shader for WebGL 2","1","2 files changed, 59 insertions(+), 1 deletion(-)","2","docs;fog-of-war","retained-pending-review","false"
"fog-persistence-fix","af2ebc1e9d045d691c06ed79783ec7a5cff930af","699d1a0e2925fb0fa86c01ac64c33904731ccb80","2025-12-02T19:14:13Z","google-labs-jules[bot]","Fix fog of war persistence and remove floor warping - Replaced distance-based fog with texture-based persistent fog of war using `THREE.DataTexture`. - Removed vertex displacement (warping) from the fog shader, implementing pure fade-out. - Applied fog shader logic to dynamic events so they correctly fade in/out. - Updated `ExploreSystem` to manage fog texture updates on player movement.","1","2 files changed, 186 insertions(+), 97 deletions(-)","2","tests","retained-pending-review","false"
"jules-fix-exp-math-5379748466734844540","2493299d5a275324595901360f547baab9f4cf17","23cffca33a61c4d889ccd9c632d4467b710f7db9","2025-12-26T18:52:52Z","google-labs-jules[bot]","Fix EXP Calculation and Gauge Logic","3","3 files changed, 107 insertions(+), 26 deletions(-)","3","","retained-pending-review","false"
"jules-maintenance-audio-11583633844333495691","be1f281015bd298fcc8b64a1658dd25b60825a22","eb5a1616147de758f279ad635a4606d0c8a9a7ce","2026-01-26T05:16:47Z","google-labs-jules[bot]","Implement AudioSystem and fix frontend verification","1","38 files changed, 83 insertions(+), 2 deletions(-)","38","docs;assets;audio","retained-pending-review","false"
"jules-stillnight-threejs-spec-22793016497390911","b45d6c96ad77cdc4b357ae97063fc62d70fc83e1","f528535a263b6d16ef1fc2296c5f440ab66240a9","2026-01-23T23:06:11Z","google-labs-jules[bot]","Add Stillnight_ThreeJS plugin specification document.","1","1 file changed, 140 insertions(+)","1","docs;tests","retained-pending-review","false"
"maintain-audio-integration-17985976936438372451","e03c1e20da57c695a583498764d7bbad6f875ffd","1e14a672d7dcba9b0029f6070fdbdc4739c960d4","2026-02-01T05:34:05Z","google-labs-jules[bot]","Maintain: Implement AudioService and integrate UI/Battle sounds","1","6 files changed, 238 insertions(+), 2 deletions(-)","6","docs;audio","retained-pending-review","false"
"maintenance-audio-service-7105684685514338722","af250f12144799c437c63816a2ced1e5b61aa94d","eb5a1616147de758f279ad635a4606d0c8a9a7ce","2026-01-27T05:30:26Z","google-labs-jules[bot]","Maintenance: Implement AudioService and integrate with EventBus","1","4 files changed, 132 insertions(+), 3 deletions(-)","4","docs;audio","retained-pending-review","false"
"maintenance-cleanup-todos-13252880406077690334","e0d33e0075eb6cc6289fffe7c13b476fdd25173b","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2026-01-06T05:14:40Z","google-labs-jules[bot]","Maintenance: Implement reactive events and cleanup BattleManager","1","3 files changed, 9 insertions(+), 19 deletions(-)","3","","retained-pending-review","false"
"maintenance-fix-verification-870040479274439439","473727655c458665ddae585ddd5683492ce11a0c","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2025-12-29T05:09:54Z","google-labs-jules[bot]","Fix verification script to use valid enemy ID","1","1 file changed, 1 insertion(+), 1 deletion(-)","1","","deleted","true"
"maintenance-fix-verification-script-10796663856295131595","917616c83bcdd44c781c62af6dfd3148122fcaea","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2025-12-30T05:17:56Z","google-labs-jules[bot]","Fix verification script to use valid enemy ID","1","1 file changed, 1 insertion(+), 1 deletion(-)","1","","deleted","true"
"maintenance-reactive-ui-and-cleanup-4445906571412925044","1a85ef385394c27ffcde5a02ed7c0d691f7ca325","9aa17c569d1fd4cbd4c3191bc0fcd3d248db172f","2026-01-18T12:16:07Z","google-labs-jules[bot]","feat: Implement reactive UI events and clean up legacy battle logic","1","4 files changed, 17 insertions(+), 23 deletions(-)","4","docs","retained-pending-review","false"
"maintenance-reactivity-cleanup-4749837984488329422","aeefebe677dd97a9b14a7519a0a4c2132dec187c","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2026-01-01T05:10:49Z","google-labs-jules[bot]","Refactor Global State for Reactivity and Cleanup BattleManager Fallbacks","1","4 files changed, 104 insertions(+), 22 deletions(-)","4","","retained-pending-review","false"
"maintenance-refactor-battler-ui-12571708989504921944","3b0c290911cb06a90a08ffecf802b6dd5adb01f8","1e14a672d7dcba9b0029f6070fdbdc4739c960d4","2026-02-03T05:24:38Z","google-labs-jules[bot]","Maintenance: Refactor BattleManager sort, add Battler params, and decouple UI","1","5 files changed, 55 insertions(+), 16 deletions(-)","5","","retained-pending-review","false"
"maintenance-refactor-cleanup-2209106276973364194","fe9c4acaa79612d5689e319818a93a6f7fad3f34","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2026-01-05T05:11:52Z","google-labs-jules[bot]","Resolve TODOs in Game_Variables, Game_Switches, and BattleManager.","1","3 files changed, 9 insertions(+), 2 deletions(-)","3","","retained-pending-review","false"
"maintenance-refactor-reactivity-10656735279742520841","814728c74e444818c66f4656cc67682b872e9edc","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2026-01-03T05:28:31Z","google-labs-jules[bot]","Refactor UI reactivity and remove deprecated battle logic","1","4 files changed, 104 insertions(+), 22 deletions(-)","4","","retained-pending-review","false"
"maintenance-task-15231775127487200430","f8be86b77ddd9eb2b6215097d5e6b3ad5e2324d3","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2026-01-02T05:12:41Z","google-labs-jules[bot]","Perform maintenance tasks: Reactive UI events and cleanup","1","3 files changed, 22 insertions(+), 22 deletions(-)","3","","retained-pending-review","false"
"maintenance-verification-593669660290646820","a89ccb8b973ad59b8d79f4ecdde6ea424ab10064","0e72de37b3638e5ee39ae59e8affedd59f3d40a2","2025-12-27T05:16:52Z","google-labs-jules[bot]","Maintenance: Verify Map System and fix animation tests.","1","34 files changed, 102 insertions(+), 1 deletion(-)","34","docs;assets","retained-pending-review","false"
"maintenance/audio-drift-report-15486914203244453182","9abf1dae18cf493f5a80412fcbed460f56032b3f","1e14a672d7dcba9b0029f6070fdbdc4739c960d4","2026-02-05T05:27:16Z","google-labs-jules[bot]","Restore drift report and implement AudioService framework","1","5 files changed, 132 insertions(+), 4 deletions(-)","5","docs;audio","retained-pending-review","false"
"maintenance/audio-element-refactor-9755390309044697866","edc2789db29ef9a611c389c4288361ce61cbc78f","1e14a672d7dcba9b0029f6070fdbdc4739c960d4","2026-02-04T05:18:56Z","google-labs-jules[bot]","Refactor AudioService, Window_Party help, and Element Logic","1","11 files changed, 323 insertions(+), 77 deletions(-)","11","docs;assets;audio","retained-pending-review","false"
"maintenance/audio-system-3677687844805769385","76ff9b221d68f44e513a3411e3fe4d9d26d5071d","eb5a1616147de758f279ad635a4606d0c8a9a7ce","2026-01-30T05:31:35Z","google-labs-jules[bot]","Implement Audio System and integration with UI and Battle","1","10 files changed, 186 insertions(+), 1 deletion(-)","10","docs;assets;audio","retained-pending-review","false"
"maintenance/battle-refactor-audio-2570828225764409497","fe3747d9dd11af0d1e5007b9c7bb151cb29a3459","eb5a1616147de758f279ad635a4606d0c8a9a7ce","2026-01-25T05:13:45Z","google-labs-jules[bot]","Refactor BattleManager UI coupling and implement AudioSystem","1","6 files changed, 113 insertions(+), 13 deletions(-)","6","docs;audio","retained-pending-review","false"
"maintenance/fix-verification-script-12902203665249126600","d3dbfd16a375db439599342144c0828cf9f4eed7","0e72de37b3638e5ee39ae59f3d40a2","2025-12-28T05:12:23Z","google-labs-jules[bot]","Fix verification script to use valid enemy ID","1","1 file changed, 1 insertion(+), 1 deletion(-)","1","","deleted","true"
"maintenance/reactive-state-events-8749322186825554881","1b56e981b2d6428c9a9d432cce4f1db149c8da10","1e14a672d7dcba9b0029f6070fdbdc4739c960d4","2026-01-31T05:15:07Z","google-labs-jules[bot]","Implement reactive event emission for Game_Variables and Game_Switches","1","4 files changed, 66 insertions(+), 4 deletions(-)","4","docs","retained-pending-review","false"
"maintenance/summoner-turn-params-1622379730779134202","1f2ebc00e0366f79a54aeeb4940c1071342df254","a81bac02cbde4272ea76ff7581c42975a5b3ece8","2026-01-23T05:33:21Z","google-labs-jules[bot]","Maintenance: Fix Summoner turn order and add missing design parameters","1","6 files changed, 144 insertions(+), 2 deletions(-)","6","docs","retained-pending-review","false"
"party-menu-summoner-fix-14374155521116181425","7f22983f8ac13a8d1925e9d46a460da7d010da2c","a158ead5f5478cc53e81247caefa5f3f30503c68","2026-01-23T19:25:54Z","google-labs-jules[bot]","Refactor Party Menu to remove Summoner slot and fix interaction issues","1","8 files changed, 9 insertions(+), 400 deletions(-)","8","assets","retained-pending-review","false"
"random-initial-equipment-2273420533820399733","4cd3a5baa2a9c4178c98580a1865af3d00e0dce5","782f6e2eff922d62918c78b693911cd524a40ef1","2026-01-23T18:38:24Z","google-labs-jules[bot]","feat: Randomize initial party equipment","1","2 files changed, 66 insertions(+), 1 deletion(-)","2","assets","retained-pending-review","false"
"refactor-phase-1-complete","b39b75984c6f58d2873fd9cc7f4f7cb4d2180f73","4c09fad5227cfd881df494136af963a6c5847127","2025-12-04T23:23:47-03:00","Jo Seraph","Merge pull request #154 from JosephSerUSP/refactor/fix-battle-render-import","3","15 files changed, 190 insertions(+), 284 deletions(-)","15","docs;assets;fog-of-war","retained-pending-review","false"
"refactor-phase-1-final","c27487e0981fe2aa8a0975b88744ad9a2cc2b08f","4c09fad5227cfd881df494136af963a6c5847127","2025-12-04T20:42:56Z","google-labs-jules[bot]","Refactor Phase 1: Modularize Systems and Unify Events","1","13 files changed, 189 insertions(+), 283 deletions(-)","13","","retained-pending-review","false"
"refactor-phase-3","307c6286ca81651bac7345d751dcf7fcdd2d1f98","d95c0453c2b6bac217abb5d9b6b529569ff4b3ca","2025-12-05T07:42:48Z","google-labs-jules[bot]","Execute Refactor Phase III: Dependency Injection & Secure Math Parsing","3","5 files changed, 174 insertions(+), 35 deletions(-)","5","","retained-pending-review","false"
"refactor-phase2-registry-data-11108778643606894229","f1d3dd52ee362868927f510791393d3592668a82","6ff7935ebb300991b63e94721cbccb47b04b2482","2025-12-24T04:21:19Z","google-labs-jules[bot]","Refactor Phase 2: Implement Registry Data Loaders and Inheritance","1","","0","","retained-pending-review","false"
